"NUTS_ID","year","natura2000","area","pop","GDPcap","tour","unemp","propFV_TOT","ALP","ATL","BLK","BOR","CON","MED","PAN","STE","CF","EFT"
"AT33",2010,0.102089367620945,12640.2,56.4,32800,33517686,3.2,0.460110209880099,100,0,0,0,0,0,0,0,46.1131103556308,5238.03284278402
"AT33",2011,14.6060890238655,12640.2,56.7,34200,33549266,2.7,0.460110209880099,100,0,0,0,0,0,0,0,60.6171100118754,6704.08293341757
"AT33",2012,14.6060777763629,12640,57,35700,34684574,2.8,0.460110209880099,100,0,0,0,0,0,0,0,60.6170987643728,6697.64717801059
"AT33",2013,14.606733771491,12640,57.4,35800,35102108,3.1,0.460110209880099,100,0,0,0,0,0,0,0,60.6177547595009,6682.05635134714
"AT34",2009,0.0652204019894304,2601.1,145.1,31700,5983227,5.6,0.327081340276365,100,0,0,0,0,0,0,0,32.7733544296259,3778.20050795425
"AT34",2010,0.065281956634847,2601.1,145.6,33100,6035628,4.6,0.327081340276365,100,0,0,0,0,0,0,0,32.7734159842713,3722.76404631799
"AT34",2011,8.10796969326291,2601.1,146.1,34500,5981042,4.1,0.327081340276365,100,0,0,0,0,0,0,0,40.8161037208994,4514.14698441209
"AT34",2012,8.10796968791305,2601,146.7,35300,6401930,4,0.327081340276365,100,0,0,0,0,0,0,0,40.8161037155495,4509.81435008087
"AT34",2013,8.10820657558062,2601,147.6,35600,6568911,3.6,0.327081340276365,100,0,0,0,0,0,0,0,40.8163406032171,4499.29379681829
"BE10",2009,14.4064280689942,161,6702.1,52600,5197256,15.7,0.0191326530612245,0,100,0,0,0,0,0,0,16.3196933751166,1881.37817665029
"BE10",2010,3.67011412364332,161,6902,55400,5556308,17.3,0.0191326530612245,0,100,0,0,0,0,0,0,5.58337942976577,634.22147413803
"BE10",2011,14.0466256650878,161,7131.1,56200,5971663,16.9,0.0191326530612245,0,100,0,0,0,0,0,0,15.9598909712102,1765.11933113166
"BE10",2012,14.0467302817491,161,7248.7,55500,5988106,17.4,0.0191326530612245,0,100,0,0,0,0,0,0,15.9599955878715,1763.43674621715
"BE10",2013,14.0467304923778,161,7324.4,55100,6271037,19.2,0.0191326530612245,0,100,0,0,0,0,0,0,15.9599957985002,1759.31279071545
"BE21",2009,16.685414973695,2867,622.5,33100,3401194,5.7,0.0148863645059749,0,100,0,0,0,0,0,0,18.1740514242925,2095.15356355399
"BE21",2010,16.6581417189514,2867,619.2,35300,3677653,6,0.0148863645059749,0,100,0,0,0,0,0,0,18.1467781695489,2061.31009835918
"BE21",2011,16.7844647098446,2867,637.4,36500,3830585,5.7,0.0148863645059749,0,100,0,0,0,0,0,0,18.2731011604421,2020.95391229197
"BE21",2012,16.7843865539855,2867,642.6,37500,3872274,5.3,0.0148863645059749,0,100,0,0,0,0,0,0,18.273023004583,2019.00558514191
"BE21",2013,16.7845228113839,2867,645.9,37300,3739815,6.2,0.0148863645059749,0,100,0,0,0,0,0,0,18.2731592619814,2014.29895234717
"BE22",2009,32.7210345339066,2422,349.1,22800,3865184,5.4,0.0174261849261849,0,97,0,0,3,0,0,0,34.4636530265251,3973.06267963436
"BE22",2010,32.7214519847013,2422,351.8,24600,3888071,5.3,0.0174261849261849,0,97,0,0,3,0,0,0,34.4640704773198,3914.8071267368
"BE22",2011,32.8252730844888,2422,355.7,26000,3966058,4.6,0.0174261849261849,0,97,0,0,3,0,0,0,34.5678915771073,3823.11218599687
"BE22",2012,32.8251861438736,2422,357.6,26300,3578125,4.7,0.0174261849261849,0,97,0,0,3,0,0,0,34.5678046364921,3819.43319447842
"BE22",2013,32.8430426618422,2422,359,26300,3484843,5.5,0.0174261849261849,0,97,0,0,3,0,0,0,34.5856611544607,3812.46942747384
"BE23",2009,8.53207921840433,2982,484.2,25600,1491832,4.2,0.017233893557423,0,100,0,0,0,0,0,0,10.2554685741466,1182.27801976607
"BE23",2010,8.53044780090904,2982,485.7,27200,1619859,5.2,0.017233893557423,0,100,0,0,0,0,0,0,10.2538371566513,1164.74328833775
"BE23",2011,8.41300551410498,2982,493.1,28200,1705785,3.8,0.017233893557423,0,100,0,0,0,0,0,0,10.1363948698473,1121.0569398642
"BE23",2012,8.4131058003766,2982,495.9,28900,1810621,4.1,0.017233893557423,0,100,0,0,0,0,0,0,10.1364951561189,1119.99204120933
"BE23",2013,8.4131057903621,2982,498.2,28900,1878689,4,0.017233893557423,0,100,0,0,0,0,0,0,10.1364951461044,1117.372823196
"BE24",2009,9.90226688561619,2106,510.9,30300,1435153,4.9,0.0112729741019215,0,100,0,0,0,0,0,0,11.0295642958083,1271.5178580337
"BE24",2010,9.89361948261616,2106,516.1,31800,1494187,4.8,0.0112729741019215,0,100,0,0,0,0,0,0,11.0209168928083,1251.87661810095
"BE24",2011,9.88987462866206,2106,520,32600,1589607,3.5,0.0112729741019215,0,100,0,0,0,0,0,0,11.0171720388542,1218.46843285234
"BE24",2012,9.88986499847517,2106,523.5,34000,1797397,4.4,0.0112729741019215,0,100,0,0,0,0,0,0,11.0171624086673,1217.29789482211
"BE24",2013,9.88986825300281,2106,526.4,33600,1911212,5.5,0.0112729741019215,0,100,0,0,0,0,0,0,11.017165663195,1214.4514768927
"BE25",2009,8.83733597187011,3144,369.5,26500,7288832,4.3,0.0462368745468363,0,100,0,0,0,0,0,0,13.4610234265537,1551.82301088519
"BE25",2010,8.83577878708675,3144,370.8,28400,7510736,3.8,0.0462368745468363,0,100,0,0,0,0,0,0,13.4594662417704,1528.87379916517
"BE25",2011,8.90978979118673,3144,374.6,29400,7887451,3.2,0.0462368745468363,0,100,0,0,0,0,0,0,13.5334772458704,1496.76475529862
"BE25",2012,8.90977722463317,3144,376.1,30200,7718261,3.9,0.0462368745468363,0,100,0,0,0,0,0,0,13.5334646793168,1495.32678676147
"BE25",2013,8.90934379425267,3144,377,30300,7750871,3.9,0.0462368745468363,0,100,0,0,0,0,0,0,13.5330312489363,1491.78203265209
"BE31",2009,8.01358505602543,1090,346.1,32300,355050,6.9,0.00637755102040816,0,100,0,0,0,0,0,0,8.65134015806625,997.349778457328
"BE31",2010,8.00855190278603,1091,351,37200,410337,8.3,0.00637755102040816,0,100,0,0,0,0,0,0,8.64630700482684,982.142382302916
"BE31",2011,8.14735472946276,1091,353.1,34100,408237,6.7,0.00637755102040816,0,100,0,0,0,0,0,0,8.78510983150358,971.608591667332
"BE31",2012,8.14728217320303,1091,355.8,34300,410494,7,0.00637755102040816,0,100,0,0,0,0,0,0,8.78503727524384,970.66803450905
